id,company,title,event_date,deadline,place,salary,status,pickup,tags
8aa14ef8-7153-45fe-a096-7431a3affb7f,株式会社ベイカレント,MyVision限定 1day選考会,2026/9/19,2026/9/17,東京/大阪/名古屋拠点,,open,1,弊社限定|未経験可|1日完結
c52fb13a-b9c0-4d26-ad5b-d176c0ac01c3,アクセンチュア株式会社,Song 休日選考会,2026/9/12,2026/9/2,オンライン,,open,,未経験可|土日開催
914366ea-6ee1-4984-8506-5a6d1339663c,アクセンチュア株式会社,Industry ＆ Enterprise 1day選考会,2026/9/12,2026/9/7,オンライン,,open,,未経験可|1日完結|土日開催
f4622e7e-4937-4c8e-85f7-60e29b158390,アクセンチュア株式会社,DigitalCore/CyberSecurity領域 1day選考会,2026/9/12,2026/9/9,オンライン,,open,1,IT経験歓迎|土日開催|1日完結
bff787b6-f53f-40bb-b5e3-cefcaeea90f7,EYストラテジー・アンド・コンサルティング株式会社,Supply Chain & Operations 1day選考会,2026/9/24,2026/9/10,オンライン,,open,,未経験可|1日完結|BIG4
f1a64893-ee93-406c-8884-91a50e4fceb2,PwCコンサルティング合同会社, サプライチェーン/エネルギー・化学・素材業界コンサルタント 1day選考会,2026/9/12,2026/8/27,グランフロント大阪,,open,,未経験可|1日完結|BIG4
1f474156-3952-4ff3-a1fb-30336b2efd30,合同会社デロイト トーマツ,Digital Transformation with SAP 1day選考会,2026/9/5,2026/8/26,オンライン,,open,,東阪福拠点対象|SAP|1日完結
7bef10ad-2fcc-4894-8e4f-15c0e48e9841,ベイン・アンド・カンパニー,経営戦略コンサルタント 休日選考会,2026/10/17,2026/9/17,オンライン,,open,,未経験可|MBB
f2149971-9da7-424c-af78-16e9b63e90af,山田コンサルティンググループ株式会社,事業承継M＆Aコンサルタント 1day選考会,2026/8/30,2026/8/24,丸の内トラストタワー,,open,,未経験可|1日完結
20aa816d-f50b-41fa-b12a-c9758418df3d,株式会社KPMG FAS, I&S Core/IT CoE合同 1day選考会,2026/9/5,2026/8/26,オンライン,,open,,1日完結|BIG4
ca6d906c-67f7-4488-8c20-a23fb5850bdf,株式会社KPMG FAS,Integration & Separation : Supply Chain CoE 1day選考会,2026/9/26,2026/9/16,オンライン,,open,,1日完結|BIG4
e659eda7-57d9-4511-858b-2017994b0c71,株式会社NTTデータ経営研究所,戦略コンサルタント 集中選考会,2026/9/10,2026/9/7,オンライン,,open,,上流特化|事業会社・SI経験者可
37f0888f-9457-4156-bb43-2405cd379cb8,株式会社ドリームインキュベータ,Technology ＆ Amplify 1day選考会,2026/10/4,2026/9/24,霞が関オフィス,,open,,1日完結|新規事業コンサル
07f297ce-d399-49d6-87b0-f8fcd1a2c5ad,株式会社MSOL Digital,コンサルタント/エンジニア 1day選考会,2026/9/26,2026/9/17,,,open,,未経験可|1日完結
